iter	Logloss
208	0.2133201632
209	0.2132733249
210	0.2132264693
211	0.2132249009
212	0.2131853042
213	0.2131382452
214	0.2130400707
215	0.2130073452
216	0.2129692823
217	0.2129133684
218	0.2128843075
219	0.2128003528
220	0.2127707251
221	0.21270087
222	0.2126873909
223	0.212649398
224	0.2125876963
225	0.2125189561
226	0.2124882359
227	0.2124756195
228	0.2124173492
229	0.2123959267
230	0.212373923
231	0.2123193361
232	0.2122601356
233	0.2122152145
234	0.2121690185
235	0.2121296953
236	0.2120626231
237	0.2120087167
238	0.2119637775
239	0.2119253104
240	0.2118537924
241	0.2117956895
242	0.2117438984
243	0.2116546505
244	0.2115901887
245	0.2115685042
246	0.2115474308
247	0.2115271218
248	0.2114320089
249	0.2113843815
250	0.2113285348
251	0.2112947555
252	0.2112519344
253	0.21119627
254	0.2111566715
255	0.2111096174
256	0.2110953713
257	0.2110723967
258	0.2110512028
259	0.2110170569
260	0.2110006455
261	0.2109185937
262	0.2108818709
263	0.2108483841
264	0.210796744
265	0.2107669492
266	0.2107156903
267	0.2106943395
268	0.21067545
269	0.2106454786
270	0.2106133915
271	0.2105834484
272	0.2105553438
273	0.210518902
274	0.2104940818
275	0.2104639136
276	0.210409952
277	0.210380546
278	0.2103417326
279	0.2103082111
280	0.2102718727
281	0.2102427498
282	0.2102199483
283	0.2101828147
284	0.2101821185
285	0.2101715024
286	0.210164651
287	0.2101169058
288	0.2100720392
289	0.2100378129
290	0.2099955669
291	0.20995852
292	0.2099208709
293	0.2098810989
294	0.2098566457
295	0.2098449645
296	0.2098058969
297	0.2097631158
298	0.209723257
299	0.2096775502
300	0.2096587656
301	0.2096049214
302	0.2095832116
303	0.2095572804
304	0.2094988594
305	0.2094615322
306	0.2094414958
307	0.2093939206
308	0.2093669462
309	0.2093204784
310	0.2092892623
311	0.2092423265
312	0.2092250037
313	0.2091995347
314	0.2091760416
315	0.2091248581
316	0.2090295881
317	0.2089687851
318	0.2089219036
319	0.2088711086
320	0.2088484827
321	0.2088352805
322	0.2087979502
323	0.2087460239
324	0.2087191362
325	0.2086826293
326	0.2086281101
327	0.2085781517
328	0.2085458035
329	0.2085023711
330	0.2084456181
331	0.2084411646
332	0.2084206384
333	0.2084075573
334	0.2083948007
335	0.2083666831
336	0.208315128
337	0.2082530454
338	0.2082065981
339	0.2081986855
340	0.2081591131
341	0.2081169776
342	0.2080699703
343	0.2080462598
344	0.2080277829
345	0.2079894822
346	0.2079306336
347	0.2078856273
348	0.2078828994
349	0.2078495132
350	0.2078279418
351	0.2077760115
352	0.2077603595
353	0.2077382139
354	0.2077143479
355	0.2077129603
356	0.2076718066
357	0.207665834
358	0.2076384067
359	0.207588004
360	0.207520552
361	0.2074865948
362	0.2074343032
363	0.2074069112
364	0.2073837797
365	0.2073520884
366	0.2073323324
367	0.2072814318
368	0.2072511599
369	0.2072320417
370	0.2072107725
371	0.2071651962
372	0.2071407825
373	0.2071140986
374	0.2071092239
375	0.2070724216
376	0.2070455434
377	0.2070278057
378	0.2070093075
379	0.2069472624
380	0.2069049921
381	0.2068842207
382	0.2068683557
383	0.2068418056
384	0.2068367455
385	0.2067997086
386	0.2067681441
387	0.2067375287
388	0.2066860361
389	0.2066399988
390	0.2065852741
391	0.2065513431
392	0.2065149528
393	0.2064679494
394	0.2064418298
395	0.2064027274
396	0.2063714959
397	0.2063474081
398	0.2063163984
399	0.2062691835
400	0.2062500807
401	0.2062328483
402	0.2062158333
403	0.2061832568
404	0.2061631592
405	0.2061244999
406	0.2060849368
407	0.2060685523
408	0.2060547377
409	0.2060191365
410	0.2060017596
411	0.2059398096
412	0.2058969586
413	0.2058601774
414	0.2058379194
415	0.2058211199
416	0.2058052572
417	0.2057771142
418	0.2057516565
419	0.2057337301
420	0.2057281702
421	0.2056972968
422	0.2056708592
423	0.205627248
424	0.2056025485
425	0.2055536549
426	0.2055318883
427	0.2055143368
428	0.2054797783
429	0.2054451624
430	0.205439483
431	0.205424319
432	0.205388642
433	0.2053354219
434	0.2053104184
435	0.2053056987
436	0.2052707813
437	0.205247005
438	0.2052165862
439	0.2051698146
440	0.205146989
441	0.2051031022
442	0.205071546
443	0.2050090449
444	0.2049804003
445	0.2049612187
446	0.2049188189
447	0.2049074397
448	0.20489912
449	0.2048636933
450	0.2048450349
451	0.2048297512
452	0.2047972534
453	0.20476155
454	0.2047127829
455	0.2047066262
456	0.2046638302
457	0.2046359583
458	0.2045947802
459	0.204555565
460	0.2045330368
461	0.2044991124
462	0.2044721227
463	0.2044635109
464	0.2044335531
465	0.2043957862
466	0.2043360246
467	0.2043059304
468	0.2042610555
469	0.2042360512
470	0.2042156477
471	0.2042040379
472	0.2041725015
473	0.2041107486
474	0.204072522
475	0.2040327026
476	0.2040091985
477	0.203962439
478	0.2039136511
479	0.2038547975
480	0.2038420508
481	0.2038262091
482	0.2038056705
483	0.2037586954
484	0.203747363
485	0.2037303106
486	0.2037282294
487	0.2037136025
488	0.2036994923
489	0.2036694357
490	0.2036526996
491	0.2036240881
492	0.2035927918
493	0.2035724159
494	0.2035355676
495	0.2035145983
496	0.2034964844
497	0.2034691284
498	0.2034601368
499	0.203447813
500	0.2034189124
501	0.203398342
502	0.2033612504
503	0.2033218099
504	0.2033040226
505	0.2032907362
506	0.2032528543
507	0.2032260907
508	0.2031827619
509	0.2031513848
510	0.2031104876
511	0.2030797264
512	0.2030505111
513	0.2029915986
514	0.2029564246
515	0.2029286675
516	0.2029008862
517	0.2028530204
518	0.2028165185
519	0.202780591
520	0.2027446999
521	0.2027012748
522	0.2026686245
523	0.2026391313
524	0.2026169709
525	0.2025711726
526	0.2025314139
527	0.2024970577
528	0.202478315
529	0.2024736589
530	0.2024445043
531	0.2024342932
532	0.202380468
533	0.2023615911
534	0.2023491678
535	0.2023308703
536	0.2023176521
537	0.2022618458
538	0.202247264
539	0.2022299092
540	0.2021792097
541	0.2021383819
542	0.2020987714
543	0.2020722439
544	0.2020323652
545	0.2020084434
546	0.2019913377
547	0.2019423032
548	0.2018786408
549	0.2018638102
550	0.2018283971
551	0.2018178912
552	0.2017887488
553	0.2017738684
554	0.2017719361
555	0.2017563009
556	0.2017549633
557	0.2017126343
558	0.2016939675
559	0.2016721363
560	0.2016512044
561	0.2016196066
562	0.2016106811
563	0.2016057903
564	0.2015821588
565	0.2015665607
566	0.2015325426
567	0.2014939987
568	0.2014712744
569	0.2014298548
570	0.2014007388
571	0.2013682026
572	0.2013678824
573	0.2013398885
574	0.2013003949
575	0.2012811763
576	0.2012643826
577	0.2012284556
578	0.2011794773
579	0.2011702973
580	0.2011463553
581	0.201106469
582	0.2010767823
583	0.2010502859
584	0.2010118335
585	0.200954852
586	0.20094021
587	0.2009307926
588	0.2008950614
589	0.200885052
590	0.2008757307
591	0.200851999
592	0.2008225082
593	0.2008077574
594	0.2007804299
595	0.2007493564
596	0.200711583
597	0.2006647556
598	0.2006637676
599	0.2006504666
600	0.2006366031
601	0.200605919
602	0.2006024497
603	0.2005897257
604	0.2005837997
605	0.2005450259
606	0.2005202505
607	0.2005194556
608	0.2004953903
609	0.2004533762
